Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
464		0.0133		0.3369		0.9881		0.8762		0.00028572
465		0.0136		0.3817		0.9876		0.8626		0.00028525
466		0.0129		0.3411		0.9883		0.8746		0.00028477
467		0.0122		0.3528		0.9889		0.8726		0.00028429
468		0.0126		0.3838		0.9887		0.8641		0.00028381
469		0.0127		0.3500		0.9887		0.8778		0.00028333
470		0.0126		0.3503		0.9884		0.8776		0.00028285
471		0.0126		0.3543		0.9886		0.8691		0.00028237
472		0.0123		0.3792		0.9891		0.8700		0.00028189
473		0.0119		0.3655		0.9891		0.8742		0.00028141
474		0.0123		0.3549		0.9889		0.8703		0.00028093
475		0.0126		0.4697		0.9885		0.8433		0.00028045
476		0.0128		0.3880		0.9885		0.8683		0.00027997
477		0.0129		0.4317		0.9882		0.8603		0.00027949
478		0.0124		0.4821		0.9888		0.8517		0.00027901
479		0.0121		0.4432		0.9890		0.8629		0.00027853
480		0.0130		0.4485		0.9884		0.8473		0.00027805
481		0.0163		0.4659		0.9852		0.8450		0.00027757
482		0.0193		0.3524		0.9835		0.8588		0.00027709
483		0.0172		0.4811		0.9854		0.8359		0.00027661
484		0.0145		0.2975		0.9867		0.8889		0.00027613
485		0.0130		0.3717		0.9885		0.8601		0.00027565
486		0.0126		0.4808		0.9888		0.8297		0.00027517
487		0.0120		0.4058		0.9892		0.8631		0.00027469
488		0.0119		0.3581		0.9891		0.8753		0.00027421
489		0.0122		0.5424		0.9891		0.8277		0.00027372
490		0.0143		0.3913		0.9871		0.8634		0.00027324
491		0.0122		0.3368		0.9890		0.8807		0.00027276
492		0.0118		0.3805		0.9891		0.8707		0.00027228
493		0.0122		0.7562		0.9890		0.7685		0.00027180
