Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
285		0.0149		0.4192		0.9875		0.8520		0.00023491
286		0.0151		0.3462		0.9874		0.8724		0.00023393
287		0.0146		0.3934		0.9878		0.8540		0.00023295
288		0.0142		0.3330		0.9882		0.8813		0.00023197
289		0.0152		0.4606		0.9872		0.8402		0.00023099
290		0.0148		0.3918		0.9878		0.8584		0.00023001
291		0.0148		0.3238		0.9877		0.8757		0.00022903
292		0.0177		0.3287		0.9865		0.8734		0.00022805
293		0.0163		0.4192		0.9862		0.8483		0.00022707
294		0.0152		0.4211		0.9874		0.8581		0.00022608
295		0.0162		0.4316		0.9863		0.8440		0.00022510
296		0.0152		0.3862		0.9873		0.8623		0.00022412
297		0.0151		0.4402		0.9873		0.8438		0.00022313
298		0.0156		0.3657		0.9873		0.8658		0.00022215
299		0.0162		0.5259		0.9865		0.8055		0.00022116
300		0.0179		0.3651		0.9853		0.8571		0.00022018
301		0.0220		0.3285		0.9823		0.8604		0.00021919
302		0.0172		0.4652		0.9859		0.8309		0.00021821
303		0.0156		0.4592		0.9869		0.8401		0.00021722
304		0.0171		0.7338		0.9857		0.7778		0.00021623
305		0.0168		0.3856		0.9861		0.8621		0.00021524
306		0.0147		0.3762		0.9877		0.8541		0.00021425
307		0.0161		0.3698		0.9865		0.8618		0.00021326
308		0.0161		0.3381		0.9869		0.8688		0.00021227
309		0.0148		0.4537		0.9875		0.8461		0.00021128
310		0.0149		0.3958		0.9875		0.8608		0.00021029
311		0.0144		0.4875		0.9878		0.8413		0.00020930
312		0.0140		0.4029		0.9883		0.8530		0.00020831
313		0.0136		0.5097		0.9886		0.8349		0.00020732
314		0.0137		0.4155		0.9884		0.8561		0.00020633
315		0.0132		0.4128		0.9890		0.8586		0.00020533
316		0.0135		0.4713		0.9887		0.8467		0.00020434
317		0.0141		0.5048		0.9881		0.8347		0.00020334
318		0.0132		0.4208		0.9887		0.8576		0.00020235
319		0.0130		0.4149		0.9889		0.8566		0.00020135
320		0.0137		0.4658		0.9886		0.8343		0.00020036
321		0.0134		0.4622		0.9888		0.8436		0.00019936
322		0.0142		0.4715		0.9882		0.8458		0.00019836
323		0.0130		0.4663		0.9889		0.8500		0.00019737
324		0.0126		0.4392		0.9892		0.8561		0.00019637
325		0.0136		0.4739		0.9886		0.8477		0.00019537
326		0.0128		0.4801		0.9892		0.8429		0.00019437
327		0.0129		0.3926		0.9892		0.8595		0.00019337
328		0.0123		0.4494		0.9896		0.8480		0.00019237
329		0.0131		0.4605		0.9888		0.8463		0.00019137
330		0.0136		0.3760		0.9890		0.8693		0.00019037
331		0.0139		0.4852		0.9886		0.8333		0.00018937
332		0.0127		0.3734		0.9893		0.8637		0.00018836
333		0.0141		0.4947		0.9883		0.8314		0.00018736
334		0.0146		0.3976		0.9877		0.8508		0.00018636
335		0.0152		0.3930		0.9879		0.8603		0.00018535
336		0.0156		0.6134		0.9873		0.8081		0.00018435
337		0.0147		0.2926		0.9878		0.8985		0.00018334
338		0.0879		0.9522		0.9356		0.6965		0.00018233
339		0.0910		0.4171		0.9291		0.8127		0.00018133
340		0.0340		0.3789		0.9727		0.8415		0.00018032
341		0.0259		0.3038		0.9796		0.8678		0.00017931
342		0.0218		0.3340		0.9821		0.8683		0.00017830
343		0.0212		0.3192		0.9835		0.8617		0.00017729
344		0.0176		0.3484		0.9858		0.8645		0.00017628
345		0.0178		0.3530		0.9851		0.8575		0.00017527
346		0.0177		0.3511		0.9855		0.8547		0.00017426
347		0.0165		0.3667		0.9863		0.8544		0.00017325
348		0.0162		0.3243		0.9866		0.8728		0.00017223
349		0.0154		0.4065		0.9873		0.8561		0.00017122
350		0.0148		0.3937		0.9878		0.8597		0.00017021
351		0.0144		0.3230		0.9879		0.8706		0.00016919
352		0.0144		0.3886		0.9881		0.8538		0.00016818
353		0.0132		0.3833		0.9889		0.8569		0.00016716
354		0.0139		0.4352		0.9884		0.8443		0.00016614
