Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
232		0.0199		0.3357		0.9835		0.8790		0.00004917
233		0.0196		0.3158		0.9834		0.8825		0.00004683
234		0.0198		0.3237		0.9834		0.8840		0.00004449
235		0.0194		0.3220		0.9839		0.8784		0.00004212
236		0.0193		0.3355		0.9837		0.8768		0.00003975
237		0.0197		0.3297		0.9835		0.8795		0.00003735
238		0.0189		0.3458		0.9842		0.8767		0.00003494
239		0.0197		0.3520		0.9837		0.8776		0.00003252
240		0.0195		0.3314		0.9835		0.8763		0.00003007
241		0.0196		0.3246		0.9834		0.8793		0.00002759
242		0.0190		0.3468		0.9842		0.8706		0.00002510
